Year,Month,NumCases,Relationship_Acquaintance,Relationship_Boyfriend,Relationship_Boyfriend/Girlfriend,Relationship_Brother,Relationship_Common-Law Husband,Relationship_Common-Law Wife,Relationship_Daughter,Relationship_Employee,Relationship_Employer,Relationship_Ex-Husband,Relationship_Ex-Wife,Relationship_Family,Relationship_Father,Relationship_Friend,Relationship_Girlfriend,Relationship_Husband,Relationship_In-Law,Relationship_Mother,Relationship_Neighbor,Relationship_Sister,Relationship_Son,Relationship_Stepdaughter,Relationship_Stepfather,Relationship_Stepmother,Relationship_Stepson,Relationship_Stranger,Relationship_Unknown,Relationship_Wife,Crime Solved_No,Crime Solved_Yes,Crime Type_Manslaughter by Negligence,Crime Type_Murder or Manslaughter,Victim Race_Asian/Pacific Islander,Victim Race_Black,Victim Race_Native American/Alaska Native,Victim Race_Unknown,Victim Race_White,Perpetrator Sex_Female,Perpetrator Sex_Male,Perpetrator Sex_Unknown,Weapon_Blunt Object,Weapon_Drowning,Weapon_Drugs,Weapon_Explosives,Weapon_Fall,Weapon_Fire,Weapon_Firearm,Weapon_Gun,Weapon_Handgun,Weapon_Knife,Weapon_Poison,Weapon_Rifle,Weapon_Shotgun,Weapon_Strangulation,Weapon_Suffocation,Weapon_Unknown,Victim Sex_Female,Victim Sex_Male,Victim Sex_Unknown,State_Alabama,State_Alaska,State_Arizona,State_Arkansas,State_California,State_Colorado,State_Connecticut,State_Delaware,State_District of Columbia,State_Florida,State_Georgia,State_Hawaii,State_Idaho,State_Illinois,State_Indiana,State_Iowa,State_Kansas,State_Kentucky,State_Louisiana,State_Maine,State_Maryland,State_Massachusetts,State_Michigan,State_Minnesota,State_Mississippi,State_Missouri,State_Montana,State_Nebraska,State_Nevada,State_New Hampshire,State_New Jersey,State_New Mexico,State_New York,State_North Carolina,State_North Dakota,State_Ohio,State_Oklahoma,State_Oregon,State_Pennsylvania,State_Rhodes Island,State_South Carolina,State_South Dakota,State_Tennessee,State_Texas,State_Utah,State_Vermont,State_Virginia,State_Washington,State_West Virginia,State_Wisconsin,State_Wyoming,Perpetrator Race_Asian/Pacific Islander,Perpetrator Race_Black,Perpetrator Race_Native American/Alaska Native,Perpetrator Race_Unknown,Perpetrator Race_White,Perpetrator Count,Victim Count
1981,9,1659,433,24,6,21,11,14,7,2,1,7,8,10,12,67,28,49,21,8,29,2,18,1,3,0,1,317,484,75,399,1260,18,1641,14,750,11,8,876,165,1095,399,170,1,2,0,1,9,61,2,795,336,2,80,121,23,11,45,357,1299,3,27,4,20,17,194,9,14,3,20,122,37,3,7,91,32,10,17,20,48,3,32,12,71,2,25,45,1,7,7,5,38,0,201,39,0,55,21,10,73,2,32,0,28,165,3,3,42,15,12,14,1,7,622,5,409,616,223,108
1981,10,1648,457,22,2,27,11,15,27,1,2,7,4,14,14,57,34,37,22,10,22,2,24,1,7,1,3,302,459,64,377,1271,26,1622,16,758,8,10,856,180,1091,377,171,4,2,3,1,15,49,7,804,294,0,89,128,20,12,49,372,1275,1,29,5,13,13,206,20,14,8,26,115,50,2,10,87,26,7,11,21,65,4,33,21,75,8,17,37,0,4,9,2,38,0,174,43,2,60,29,12,57,1,31,2,30,160,3,0,32,18,8,6,4,12,630,8,381,617,211,164
1981,11,1615,382,21,6,21,8,6,18,0,2,3,10,19,20,58,27,57,11,6,16,6,17,0,6,0,3,344,483,65,432,1183,25,1590,14,722,10,13,856,166,1017,432,142,3,5,1,0,29,85,2,746,283,2,86,149,28,10,44,360,1253,2,42,6,23,12,183,13,9,6,20,113,30,2,0,90,30,4,10,13,65,9,28,14,84,5,24,36,0,4,8,6,43,0,198,52,4,49,23,7,73,1,26,0,30,148,2,2,39,10,10,8,1,10,567,9,441,588,181,164
1981,12,1533,370,22,2,22,7,5,11,3,1,11,5,25,18,52,40,45,21,22,30,7,17,1,3,2,2,245,480,64,382,1151,25,1508,17,651,15,6,844,160,991,382,133,3,2,1,0,20,62,3,733,253,0,92,144,26,14,47,326,1205,2,39,10,15,15,162,11,11,4,22,142,0,5,3,103,41,2,18,15,60,5,40,16,87,20,18,37,2,4,16,0,57,0,25,42,2,59,26,11,56,3,21,0,36,173,4,0,52,14,13,12,4,11,523,11,389,599,178,134
1982,1,1755,431,18,14,25,13,5,26,0,3,2,5,25,8,67,28,41,13,17,27,1,35,2,10,0,6,380,485,68,451,1304,28,1727,23,742,8,7,975,179,1125,451,174,1,1,2,2,26,50,6,851,309,2,92,146,31,7,55,406,1348,1,28,3,25,19,261,20,15,2,25,150,63,3,2,100,21,4,16,17,50,1,34,18,88,4,16,35,0,2,16,4,35,9,146,50,0,50,30,10,65,5,46,0,31,135,7,0,44,17,12,19,2,16,613,8,463,655,304,180
1982,2,1587,392,26,2,19,12,12,15,1,1,1,1,27,12,83,22,39,13,8,22,5,25,5,4,0,6,363,416,55,422,1165,21,1566,16,678,17,8,868,165,1000,422,164,4,0,3,1,26,54,4,753,311,0,80,110,18,11,48,361,1225,1,34,9,21,13,204,12,16,3,20,127,58,1,4,73,31,4,6,19,64,1,48,19,65,10,12,28,0,4,8,4,47,8,162,46,1,51,20,12,52,4,26,1,49,124,5,0,31,14,5,10,1,12,558,12,425,580,267,172
1982,3,1686,417,18,7,14,15,8,21,0,2,4,4,27,10,73,39,45,14,5,26,7,35,3,2,4,4,357,459,66,475,1211,19,1667,20,745,16,8,897,178,1033,475,189,9,2,0,1,18,85,1,727,338,3,95,135,23,4,56,392,1292,2,19,5,16,18,246,18,12,2,17,140,49,1,1,71,32,8,12,30,62,0,32,21,67,11,33,43,0,1,12,1,48,11,183,48,0,62,30,12,52,3,28,1,30,146,7,0,20,13,2,7,3,13,573,10,480,610,233,224
1982,4,1673,397,22,10,20,23,7,23,0,4,7,10,20,8,65,31,48,15,14,35,2,36,2,6,1,2,355,446,64,435,1238,19,1654,12,715,11,5,930,171,1067,435,163,7,1,1,0,20,70,0,771,341,0,100,113,34,9,43,404,1268,1,44,9,24,21,251,17,14,2,12,136,42,2,3,118,21,6,9,24,48,1,35,13,54,8,22,41,0,5,5,2,45,6,163,44,0,45,33,7,59,2,23,7,36,140,1,1,30,17,10,12,3,16,573,7,434,643,251,204
1982,5,1803,456,18,8,24,10,13,15,3,1,4,5,17,17,64,29,48,26,8,31,2,22,3,10,0,6,407,490,66,475,1328,11,1792,20,758,11,8,1006,179,1149,475,222,7,3,3,0,27,80,5,789,394,1,73,120,29,6,44,400,1402,1,35,9,18,18,267,12,10,3,18,124,47,0,5,99,19,6,10,18,56,2,42,18,67,5,24,35,0,2,12,2,58,15,210,42,1,59,43,14,54,1,32,0,42,154,6,0,44,16,17,7,5,13,611,10,481,688,265,240
1982,6,1695,458,24,5,21,9,10,17,2,1,5,10,24,8,42,23,60,29,12,29,3,24,2,5,0,4,370,423,75,437,1258,18,1677,23,753,17,3,899,182,1076,437,191,6,0,0,1,6,63,1,778,361,0,84,124,24,10,46,395,1299,1,36,7,18,19,220,16,11,5,15,119,46,8,2,82,33,2,11,28,56,3,39,20,67,6,15,41,1,3,13,2,36,15,189,46,0,54,29,16,56,1,32,0,35,163,2,0,32,20,10,13,2,12,599,13,439,632,242,132
