Agency Type,State,City,Crime Type,Victim Sex,Victim Age,Victim Race,Victim Ethnicity,Weapon,Victim Count,Perpetrator Count,Crime Solved,is_victim_age_missing
Sheriff,West Virginia,West Virginia_othercity,Murder or Manslaughter,Male,32,White,Unknown,Knife,0,0,Yes,False
Sheriff,Texas,Harris,Murder or Manslaughter,Female,39,Black,Not Hispanic,Blunt Object,0,0,Yes,False
Municipal Police,Louisiana,Louisiana_othercity,Murder or Manslaughter,Female,3,Black,Not Hispanic,Firearm,0,0,Yes,True
Sheriff,Florida,Florida_othercity,Murder or Manslaughter,Female,43,White,Unknown,Knife,0,0,No,False
Municipal Police,Nevada,Clark,Murder or Manslaughter,Male,39,Black,Not Hispanic,Firearm,0,0,Yes,False
Municipal Police,New York,New York,Murder or Manslaughter,Male,59,Black,Unknown,Unknown,0,0,No,False
Municipal Police,Florida,Florida_othercity,Murder or Manslaughter,Male,19,Black,Unknown,Firearm,0,0,No,False
Municipal Police,New Jersey,New Jersey_othercity,Murder or Manslaughter,Male,32,Black,Unknown,Handgun,0,0,No,False
Sheriff,California,California_othercity,Murder or Manslaughter,Male,24,White,Not Hispanic,Shotgun,0,0,Yes,False
Municipal Police,Michigan,Wayne,Murder or Manslaughter,Male,32,Black,Unknown,Handgun,0,0,No,False
Sheriff,Louisiana,Louisiana_othercity,Murder or Manslaughter,Male,27,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Missouri,St. Louis city,Murder or Manslaughter,Male,25,Black,Not Hispanic,Firearm,0,0,No,False
Sheriff,South Carolina,South Carolina_othercity,Murder or Manslaughter,Male,27,Black,Unknown,Firearm,1,2,Yes,False
Municipal Police,Pennsylvania,Philadelphia,Murder or Manslaughter,Male,25,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Florida,Palm Beach,Murder or Manslaughter,Male,36,Black,Unknown,Handgun,0,0,No,False
Municipal Police,California,San Bernardino,Murder or Manslaughter,Male,24,Black,Not Hispanic,Handgun,0,0,No,False
Special Police,California,Alameda,Murder or Manslaughter,Male,21,Black,Not Hispanic,Handgun,0,0,No,False
Sheriff,North Carolina,North Carolina_othercity,Murder or Manslaughter,Female,22,White,Unknown,Handgun,1,0,Yes,False
Municipal Police,Texas,Texas_othercity,Murder or Manslaughter,Male,1,Black,Not Hispanic,Blunt Object,0,0,Yes,True
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,16,White,Unknown,Handgun,1,0,No,False
Municipal Police,Georgia,Georgia_othercity,Murder or Manslaughter,Female,35,Black,Unknown,Knife,0,0,No,False
Municipal Police,Florida,Duval,Murder or Manslaughter,Male,30,White,Unknown,Handgun,0,0,Yes,False
Municipal Police,Colorado,Colorado_othercity,Murder or Manslaughter,Male,45,Black,Unknown,Blunt Object,0,0,Yes,False
Municipal Police,New York,New York_othercity,Murder or Manslaughter,Female,51,Black,Not Hispanic,Unknown,0,0,Yes,False
Municipal Police,Georgia,Fulton,Murder or Manslaughter,Male,62,Black,Not Hispanic,Blunt Object,0,0,No,False
Municipal Police,Arizona,Maricopa,Murder or Manslaughter,Male,67,White,Not Hispanic,Knife,0,0,No,False
Municipal Police,New York,New York_othercity,Murder or Manslaughter,Female,76,White,Not Hispanic,Knife,0,0,No,False
Municipal Police,Indiana,Marion,Murder or Manslaughter,Male,42,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,New York,New York,Murder or Manslaughter,Male,22,Black,Hispanic,Handgun,1,1,Yes,False
Sheriff,Mississippi,Hinds,Murder or Manslaughter,Male,21,Black,Not Hispanic,Firearm,0,0,Yes,False
Municipal Police,North Carolina,North Carolina_othercity,Murder or Manslaughter,Male,21,Black,Not Hispanic,Gun,0,0,Yes,False
Sheriff,Louisiana,Louisiana_othercity,Murder or Manslaughter,Female,998,White,Unknown,Handgun,1,0,No,True
Municipal Police,Texas,Harris,Murder or Manslaughter,Female,998,White,Not Hispanic,Handgun,0,0,No,True
Municipal Police,Pennsylvania,Philadelphia,Murder or Manslaughter,Male,24,White,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Arkansas,Arkansas_othercity,Murder or Manslaughter,Male,28,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Missouri,St. Louis city,Murder or Manslaughter,Male,19,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,District of Columbia,District of Columbia,Murder or Manslaughter,Male,32,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Florida,Palm Beach,Murder or Manslaughter,Male,53,Black,Unknown,Rifle,1,0,Yes,False
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,23,White,Hispanic,Handgun,0,0,No,False
Municipal Police,Washington,King,Murder or Manslaughter,Male,99,White,Not Hispanic,Suffocation,0,0,No,False
Municipal Police,Wisconsin,Milwaukee,Murder or Manslaughter,Male,25,White,Unknown,Handgun,0,2,Yes,False
Municipal Police,Utah,Utah_othercity,Murder or Manslaughter,Female,0,White,Unknown,Blunt Object,5,0,Yes,True
Municipal Police,Iowa,Iowa_othercity,Murder or Manslaughter,Female,73,White,Unknown,Firearm,1,0,Yes,False
Municipal Police,Indiana,Marion,Murder or Manslaughter,Male,20,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,South Carolina,South Carolina_othercity,Murder or Manslaughter,Male,20,Black,Unknown,Handgun,0,0,No,False
Sheriff,Texas,Harris,Murder or Manslaughter,Male,16,Black,Not Hispanic,Firearm,1,0,Yes,False
Municipal Police,Texas,Tarrant,Murder or Manslaughter,Male,29,White,Unknown,Handgun,0,2,Yes,False
Sheriff,Florida,Hillsborough,Murder or Manslaughter,Male,52,White,Unknown,Handgun,0,0,Yes,False
Municipal Police,California,California_othercity,Murder or Manslaughter,Male,27,White,Not Hispanic,Knife,0,0,Yes,False
Municipal Police,Virginia,Virginia_othercity,Murder or Manslaughter,Female,18,Black,Unknown,Firearm,0,0,No,False
Municipal Police,New Mexico,Bernalillo,Murder or Manslaughter,Male,24,White,Not Hispanic,Knife,0,0,Yes,False
Municipal Police,California,Riverside,Murder or Manslaughter,Male,20,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,California,California_othercity,Manslaughter by Negligence,Female,26,White,Not Hispanic,Drugs,0,0,Yes,False
Municipal Police,Ohio,Ohio_othercity,Murder or Manslaughter,Male,2,Black,Not Hispanic,Blunt Object,0,0,Yes,True
Municipal Police,North Carolina,North Carolina_othercity,Murder or Manslaughter,Male,998,White,Unknown,Blunt Object,3,0,No,True
Municipal Police,Texas,Dallas,Murder or Manslaughter,Male,21,White,Not Hispanic,Shotgun,0,0,No,False
Sheriff,Louisiana,East Baton Rouge,Murder or Manslaughter,Male,52,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Arizona,Maricopa,Murder or Manslaughter,Male,35,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Michigan,Michigan_othercity,Murder or Manslaughter,Male,66,Black,Unknown,Knife,0,0,Yes,False
Municipal Police,California,California_othercity,Murder or Manslaughter,Male,25,White,Hispanic,Firearm,0,0,No,False
Municipal Police,Texas,Dallas,Murder or Manslaughter,Male,54,White,Not Hispanic,Unknown,0,0,No,False
Municipal Police,Minnesota,Minnesota_othercity,Murder or Manslaughter,Male,44,White,Hispanic,Knife,0,0,Yes,False
Municipal Police,Nevada,Clark,Murder or Manslaughter,Male,91,White,Not Hispanic,Knife,0,0,Yes,False
Municipal Police,South Carolina,South Carolina_othercity,Murder or Manslaughter,Male,22,Black,Unknown,Handgun,0,1,Yes,False
Sheriff,Georgia,Georgia_othercity,Murder or Manslaughter,Male,28,Black,Not Hispanic,Knife,0,1,Yes,False
Municipal Police,Tennessee,Shelby,Murder or Manslaughter,Male,28,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Missouri,Missouri_othercity,Murder or Manslaughter,Male,53,White,Not Hispanic,Knife,0,0,Yes,False
County Police,New York,New York_othercity,Murder or Manslaughter,Male,23,Black,Not Hispanic,Firearm,0,0,No,False
Municipal Police,North Carolina,North Carolina_othercity,Murder or Manslaughter,Male,9,Black,Unknown,Gun,0,1,Yes,True
Sheriff,California,California_othercity,Murder or Manslaughter,Female,62,White,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,District of Columbia,District of Columbia,Murder or Manslaughter,Male,19,Black,Unknown,Handgun,0,0,No,False
Municipal Police,California,Kern,Murder or Manslaughter,Male,20,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,New York,New York,Murder or Manslaughter,Male,25,Black,Unknown,Knife,0,0,Yes,False
Municipal Police,Texas,Harris,Murder or Manslaughter,Male,32,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,43,Black,Not Hispanic,Firearm,0,0,Yes,False
Sheriff,Texas,Harris,Murder or Manslaughter,Male,17,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Pennsylvania,Pennsylvania_othercity,Murder or Manslaughter,Male,37,Black,Not Hispanic,Knife,0,0,No,False
Sheriff,Georgia,Georgia_othercity,Murder or Manslaughter,Male,47,White,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,20,White,Hispanic,Handgun,0,0,No,False
Municipal Police,Texas,Harris,Murder or Manslaughter,Male,39,White,Hispanic,Firearm,0,0,Yes,False
State Police,New Jersey,New Jersey_othercity,Murder or Manslaughter,Male,29,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Ohio,Franklin,Murder or Manslaughter,Female,42,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Arkansas,Arkansas_othercity,Murder or Manslaughter,Male,26,Black,Unknown,Firearm,0,2,Yes,False
Sheriff,Florida,Orange,Murder or Manslaughter,Male,20,Black,Unknown,Firearm,0,0,No,False
Municipal Police,New Jersey,Essex,Murder or Manslaughter,Male,34,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Michigan,Wayne,Murder or Manslaughter,Male,23,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Maryland,Baltimore city,Murder or Manslaughter,Male,22,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,District of Columbia,District of Columbia,Murder or Manslaughter,Male,22,Black,Not Hispanic,Firearm,0,0,No,False
Municipal Police,Michigan,Wayne,Murder or Manslaughter,Male,35,Black,Unknown,Handgun,0,2,Yes,False
Municipal Police,California,Sacramento,Murder or Manslaughter,Male,20,Black,Not Hispanic,Handgun,0,0,No,False
Sheriff,California,California_othercity,Murder or Manslaughter,Male,55,White,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Oregon,Oregon_othercity,Murder or Manslaughter,Male,30,White,Not Hispanic,Firearm,0,0,No,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,24,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Texas,Bexar,Murder or Manslaughter,Male,55,White,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,California,California_othercity,Murder or Manslaughter,Male,24,White,Hispanic,Handgun,0,0,No,False
Municipal Police,California,San Joaquin,Murder or Manslaughter,Male,31,White,Hispanic,Handgun,0,0,No,False
Municipal Police,Arizona,Maricopa,Murder or Manslaughter,Female,27,Native American/Alaska Native,Not Hispanic,Handgun,0,5,Yes,False
Municipal Police,Colorado,Colorado_othercity,Murder or Manslaughter,Male,57,White,Unknown,Unknown,0,0,No,False
Municipal Police,Michigan,Wayne,Murder or Manslaughter,Female,24,Black,Unknown,Rifle,0,0,No,False
Municipal Police,Maryland,Baltimore city,Murder or Manslaughter,Male,17,Black,Not Hispanic,Knife,0,0,No,False
Sheriff,Florida,Florida_othercity,Murder or Manslaughter,Female,1,White,Unknown,Handgun,6,0,Yes,True
Municipal Police,New Jersey,Essex,Murder or Manslaughter,Male,44,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Arizona,Arizona_othercity,Murder or Manslaughter,Male,42,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,California,San Diego,Murder or Manslaughter,Male,19,White,Hispanic,Handgun,0,0,No,False
Municipal Police,Massachusetts,Massachusetts_othercity,Murder or Manslaughter,Male,61,White,Unknown,Knife,0,0,Yes,False
Municipal Police,Pennsylvania,Philadelphia,Murder or Manslaughter,Male,17,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,North Carolina,North Carolina_othercity,Murder or Manslaughter,Male,22,White,Unknown,Unknown,0,0,Yes,False
Municipal Police,Oregon,Oregon_othercity,Murder or Manslaughter,Female,38,White,Not Hispanic,Firearm,0,0,Yes,False
Municipal Police,Arkansas,Arkansas_othercity,Murder or Manslaughter,Male,26,Black,Unknown,Handgun,1,0,No,False
Municipal Police,Michigan,Wayne,Murder or Manslaughter,Female,50,Black,Unknown,Firearm,0,0,No,False
Sheriff,California,California_othercity,Murder or Manslaughter,Male,46,Asian/Pacific Islander,Not Hispanic,Knife,0,2,Yes,False
Municipal Police,New Jersey,Essex,Murder or Manslaughter,Male,30,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Florida,Duval,Murder or Manslaughter,Male,1,Black,Unknown,Blunt Object,0,0,Yes,True
Municipal Police,Arizona,Maricopa,Murder or Manslaughter,Male,50,White,Hispanic,Knife,0,0,No,False
Municipal Police,Louisiana,Orleans,Murder or Manslaughter,Male,31,Black,Unknown,Firearm,0,0,Yes,False
Municipal Police,Michigan,Wayne,Murder or Manslaughter,Male,21,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,33,White,Unknown,Handgun,0,2,Yes,False
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,24,White,Hispanic,Handgun,0,0,No,False
Municipal Police,Ohio,Cuyahoga,Murder or Manslaughter,Unknown,0,Unknown,Unknown,Unknown,0,0,No,True
Municipal Police,Ohio,Cuyahoga,Murder or Manslaughter,Male,45,Black,Unknown,Handgun,0,0,No,False
Municipal Police,California,Orange,Murder or Manslaughter,Male,25,White,Hispanic,Firearm,0,0,No,False
Sheriff,Washington,King,Murder or Manslaughter,Male,23,Black,Not Hispanic,Handgun,0,0,Yes,False
County Police,Virginia,Virginia_othercity,Murder or Manslaughter,Male,26,White,Unknown,Knife,0,0,Yes,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,24,Black,Unknown,Handgun,0,0,No,False
Municipal Police,South Carolina,South Carolina_othercity,Murder or Manslaughter,Male,48,Black,Unknown,Handgun,0,0,Yes,False
Sheriff,Texas,Harris,Murder or Manslaughter,Male,17,White,Hispanic,Handgun,0,0,Yes,False
Municipal Police,Florida,Palm Beach,Manslaughter by Negligence,Male,20,Black,Unknown,Firearm,0,2,Yes,False
Municipal Police,New Jersey,New Jersey_othercity,Murder or Manslaughter,Male,22,White,Unknown,Knife,0,0,No,False
State Police,Michigan,Michigan_othercity,Murder or Manslaughter,Male,23,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Nevada,Clark,Murder or Manslaughter,Male,31,White,Unknown,Firearm,2,1,Yes,False
County Police,Florida,Dade,Murder or Manslaughter,Male,43,Black,Unknown,Firearm,0,0,Yes,False
Sheriff,California,Los Angeles,Murder or Manslaughter,Male,27,Unknown,Unknown,Handgun,0,0,No,False
Municipal Police,Indiana,Indiana_othercity,Murder or Manslaughter,Male,2,White,Not Hispanic,Handgun,7,0,Yes,True
Sheriff,Georgia,Georgia_othercity,Murder or Manslaughter,Female,73,White,Unknown,Handgun,0,0,Yes,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,21,White,Unknown,Handgun,1,0,No,False
Sheriff,Michigan,Michigan_othercity,Murder or Manslaughter,Male,46,White,Unknown,Knife,0,0,Yes,False
Municipal Police,Missouri,Jackson,Murder or Manslaughter,Male,63,White,Unknown,Firearm,4,0,Yes,False
Municipal Police,Tennessee,Tennessee_othercity,Murder or Manslaughter,Male,20,Black,Unknown,Firearm,0,1,Yes,False
Municipal Police,Arizona,Arizona_othercity,Murder or Manslaughter,Male,33,White,Not Hispanic,Handgun,0,2,Yes,False
Municipal Police,California,Sacramento,Murder or Manslaughter,Male,35,Black,Not Hispanic,Handgun,0,0,No,False
Sheriff,North Carolina,North Carolina_othercity,Murder or Manslaughter,Male,59,White,Unknown,Handgun,1,0,No,False
County Police,Florida,Dade,Murder or Manslaughter,Male,38,Black,Unknown,Firearm,0,0,No,False
Municipal Police,New York,New York,Murder or Manslaughter,Male,35,Black,Unknown,Handgun,1,0,Yes,False
Municipal Police,Ohio,Ohio_othercity,Murder or Manslaughter,Male,23,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,New York,New York,Murder or Manslaughter,Male,37,Black,Unknown,Handgun,0,0,No,False
Municipal Police,South Carolina,South Carolina_othercity,Murder or Manslaughter,Male,19,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Florida,Florida_othercity,Murder or Manslaughter,Male,31,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Pennsylvania,Philadelphia,Murder or Manslaughter,Male,39,Asian/Pacific Islander,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Pennsylvania,Pennsylvania_othercity,Murder or Manslaughter,Male,27,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Missouri,Missouri_othercity,Murder or Manslaughter,Male,57,Black,Not Hispanic,Unknown,0,0,No,False
Municipal Police,Florida,Orange,Murder or Manslaughter,Male,21,White,Unknown,Handgun,0,1,Yes,False
Municipal Police,Maryland,Baltimore city,Murder or Manslaughter,Male,27,Black,Not Hispanic,Handgun,0,0,No,False
Sheriff,Florida,Florida_othercity,Murder or Manslaughter,Male,41,White,Unknown,Handgun,0,0,Yes,False
Municipal Police,Indiana,Lake,Murder or Manslaughter,Male,998,Unknown,Unknown,Handgun,0,0,No,True
Municipal Police,Michigan,Michigan_othercity,Murder or Manslaughter,Male,20,White,Unknown,Handgun,0,0,Yes,False
Municipal Police,Michigan,Wayne,Murder or Manslaughter,Male,37,Black,Unknown,Firearm,3,0,No,False
County Police,Georgia,De Kalb,Murder or Manslaughter,Male,23,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Tennessee,Tennessee_othercity,Murder or Manslaughter,Male,40,White,Unknown,Handgun,0,1,Yes,False
Municipal Police,Indiana,Indiana_othercity,Murder or Manslaughter,Male,25,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Florida,Palm Beach,Manslaughter by Negligence,Male,27,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Pennsylvania,Pennsylvania_othercity,Murder or Manslaughter,Male,41,White,Not Hispanic,Knife,0,0,Yes,False
Municipal Police,New York,New York,Murder or Manslaughter,Female,18,Black,Unknown,Knife,0,0,No,False
Municipal Police,Missouri,Jackson,Murder or Manslaughter,Male,25,Black,Unknown,Firearm,0,0,Yes,False
Municipal Police,Missouri,St. Louis city,Murder or Manslaughter,Male,23,Black,Not Hispanic,Firearm,0,0,No,False
Municipal Police,Tennessee,Shelby,Murder or Manslaughter,Male,34,Black,Unknown,Handgun,0,0,No,False
Municipal Police,New York,New York_othercity,Murder or Manslaughter,Male,25,Black,Hispanic,Handgun,0,0,No,False
Municipal Police,Pennsylvania,Allegheny,Murder or Manslaughter,Male,20,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,California,Sacramento,Murder or Manslaughter,Female,33,White,Not Hispanic,Firearm,0,0,Yes,False
Municipal Police,Texas,Harris,Murder or Manslaughter,Male,32,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Pennsylvania,Allegheny,Murder or Manslaughter,Male,22,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,New Jersey,New Jersey_othercity,Murder or Manslaughter,Male,24,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Michigan,Wayne,Murder or Manslaughter,Male,51,Black,Unknown,Rifle,0,0,Yes,False
Municipal Police,New Jersey,New Jersey_othercity,Murder or Manslaughter,Male,71,White,Unknown,Unknown,0,0,No,False
Municipal Police,Texas,Texas_othercity,Murder or Manslaughter,Male,29,White,Hispanic,Knife,0,0,No,False
Sheriff,North Carolina,North Carolina_othercity,Murder or Manslaughter,Male,30,Black,Unknown,Handgun,2,0,Yes,False
Municipal Police,Ohio,Franklin,Murder or Manslaughter,Male,26,Black,Unknown,Knife,0,0,Yes,False
Municipal Police,South Carolina,South Carolina_othercity,Murder or Manslaughter,Male,3,Black,Unknown,Blunt Object,0,0,Yes,True
Municipal Police,Pennsylvania,Philadelphia,Murder or Manslaughter,Male,25,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Utah,Utah_othercity,Murder or Manslaughter,Male,27,White,Unknown,Unknown,0,0,Yes,False
Municipal Police,New Jersey,Essex,Murder or Manslaughter,Male,44,White,Unknown,Handgun,0,0,No,False
Municipal Police,Washington,King,Murder or Manslaughter,Female,39,Asian/Pacific Islander,Unknown,Handgun,1,0,Yes,False
Sheriff,New Mexico,New Mexico_othercity,Murder or Manslaughter,Male,26,White,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,New Jersey,New Jersey_othercity,Murder or Manslaughter,Male,20,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Pennsylvania,Philadelphia,Murder or Manslaughter,Male,26,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,16,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,North Carolina,North Carolina_othercity,Murder or Manslaughter,Female,75,Black,Unknown,Blunt Object,2,1,Yes,False
Municipal Police,New Jersey,New Jersey_othercity,Murder or Manslaughter,Female,42,Black,Unknown,Knife,0,0,Yes,False
Municipal Police,California,Riverside,Murder or Manslaughter,Male,19,White,Hispanic,Knife,0,0,Yes,False
County Police,Florida,Dade,Murder or Manslaughter,Male,70,White,Unknown,Knife,0,0,No,False
Municipal Police,Pennsylvania,Philadelphia,Murder or Manslaughter,Male,19,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,13,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Tennessee,Tennessee_othercity,Murder or Manslaughter,Male,65,White,Unknown,Knife,0,0,Yes,False
Municipal Police,California,San Bernardino,Murder or Manslaughter,Male,70,White,Not Hispanic,Unknown,0,0,Yes,False
Sheriff,Florida,Orange,Murder or Manslaughter,Male,27,Black,Unknown,Handgun,0,2,Yes,False
Municipal Police,California,San Joaquin,Murder or Manslaughter,Male,27,Black,Not Hispanic,Handgun,0,0,Yes,False
Sheriff,Washington,Washington_othercity,Murder or Manslaughter,Female,23,White,Unknown,Firearm,3,3,Yes,False
Municipal Police,Connecticut,Connecticut_othercity,Murder or Manslaughter,Male,23,White,Unknown,Firearm,0,0,Yes,False
Sheriff,Mississippi,Mississippi_othercity,Murder or Manslaughter,Male,34,Black,Unknown,Handgun,1,0,No,False
County Police,Maryland,Maryland_othercity,Murder or Manslaughter,Male,28,White,Hispanic,Knife,0,1,Yes,False
Municipal Police,California,Sacramento,Murder or Manslaughter,Male,19,White,Hispanic,Firearm,0,0,No,False
Sheriff,Florida,Florida_othercity,Murder or Manslaughter,Male,2,White,Unknown,Blunt Object,0,0,Yes,True
Municipal Police,New York,New York,Murder or Manslaughter,Male,24,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Pennsylvania,Philadelphia,Murder or Manslaughter,Male,35,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,California,San Bernardino,Murder or Manslaughter,Male,21,Black,Not Hispanic,Handgun,0,2,Yes,False
Sheriff,Michigan,Michigan_othercity,Murder or Manslaughter,Male,19,Black,Unknown,Handgun,0,2,Yes,False
Municipal Police,Florida,Florida_othercity,Manslaughter by Negligence,Male,18,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Wisconsin,Milwaukee,Murder or Manslaughter,Male,20,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Louisiana,Orleans,Murder or Manslaughter,Male,40,White,Unknown,Blunt Object,0,2,Yes,False
Sheriff,Florida,Palm Beach,Murder or Manslaughter,Male,36,White,Unknown,Knife,0,0,Yes,False
Municipal Police,Texas,Dallas,Murder or Manslaughter,Male,15,Black,Not Hispanic,Rifle,0,0,Yes,False
Municipal Police,Pennsylvania,Allegheny,Murder or Manslaughter,Male,16,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,California,California_othercity,Murder or Manslaughter,Male,36,Black,Not Hispanic,Handgun,0,0,Yes,False
Sheriff,California,Kern,Murder or Manslaughter,Male,998,Unknown,Unknown,Suffocation,0,0,No,True
Sheriff,Louisiana,Louisiana_othercity,Murder or Manslaughter,Male,55,White,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Ohio,Ohio_othercity,Murder or Manslaughter,Female,28,White,Unknown,Strangulation,0,0,Yes,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,17,Black,Unknown,Handgun,0,0,No,False
Sheriff,Florida,Florida_othercity,Murder or Manslaughter,Female,26,White,Unknown,Rifle,0,0,Yes,False
Municipal Police,New Jersey,New Jersey_othercity,Murder or Manslaughter,Male,25,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Massachusetts,Massachusetts_othercity,Murder or Manslaughter,Female,35,White,Unknown,Handgun,0,0,No,False
Municipal Police,Indiana,Lake,Murder or Manslaughter,Male,38,Black,Unknown,Handgun,0,0,No,False
Sheriff,Missouri,Missouri_othercity,Murder or Manslaughter,Male,47,White,Not Hispanic,Handgun,0,0,Yes,False
Sheriff,South Carolina,South Carolina_othercity,Murder or Manslaughter,Male,38,White,Unknown,Firearm,0,1,Yes,False
Municipal Police,Pennsylvania,Philadelphia,Murder or Manslaughter,Male,35,White,Hispanic,Handgun,0,0,Yes,False
Municipal Police,New Jersey,Essex,Murder or Manslaughter,Female,28,Black,Unknown,Handgun,1,0,No,False
Municipal Police,Tennessee,Shelby,Murder or Manslaughter,Male,40,White,Unknown,Handgun,0,0,No,False
Sheriff,North Carolina,North Carolina_othercity,Murder or Manslaughter,Female,62,White,Unknown,Blunt Object,0,0,Yes,False
Municipal Police,Minnesota,Minnesota_othercity,Manslaughter by Negligence,Female,28,White,Not Hispanic,Drugs,0,0,Yes,False
Municipal Police,California,Riverside,Murder or Manslaughter,Male,38,Unknown,Unknown,Unknown,0,0,No,False
Municipal Police,Nevada,Clark,Murder or Manslaughter,Male,51,White,Not Hispanic,Blunt Object,0,0,Yes,False
Municipal Police,California,Alameda,Murder or Manslaughter,Female,49,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Arkansas,Arkansas_othercity,Murder or Manslaughter,Male,50,White,Unknown,Unknown,0,1,Yes,False
Municipal Police,Maryland,Baltimore city,Murder or Manslaughter,Male,47,Black,Not Hispanic,Knife,0,0,No,False
Municipal Police,Virginia,Virginia_othercity,Murder or Manslaughter,Male,27,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Illinois,Cook,Manslaughter by Negligence,Male,41,White,Unknown,Blunt Object,0,0,Yes,False
Sheriff,Florida,Florida_othercity,Murder or Manslaughter,Male,32,Black,Unknown,Firearm,0,0,Yes,False
Municipal Police,New Jersey,Essex,Murder or Manslaughter,Male,25,White,Unknown,Handgun,0,0,Yes,False
Municipal Police,Tennessee,Shelby,Murder or Manslaughter,Male,32,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Minnesota,Minnesota_othercity,Murder or Manslaughter,Male,23,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Indiana,Marion,Murder or Manslaughter,Male,23,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,California,Alameda,Murder or Manslaughter,Male,30,Black,Not Hispanic,Handgun,0,2,Yes,False
Sheriff,Michigan,Michigan_othercity,Murder or Manslaughter,Male,52,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Washington,King,Murder or Manslaughter,Male,96,White,Unknown,Handgun,0,0,Yes,False
