Agency Type,State,City,Crime Type,Victim Sex,Victim Age,Victim Race,Victim Ethnicity,Weapon,Victim Count,Perpetrator Count,Crime Solved,is_victim_age_missing
Municipal Police,Virginia,Virginia_othercity,Murder or Manslaughter,Female,36,Black,Unknown,Firearm,0,0,Yes,False
Sheriff,California,Los Angeles,Murder or Manslaughter,Male,17,Black,Not Hispanic,Handgun,0,0,No,False
Sheriff,Texas,Texas_othercity,Murder or Manslaughter,Male,46,White,Hispanic,Firearm,0,0,No,False
Municipal Police,Maryland,Baltimore city,Murder or Manslaughter,Male,30,Black,Not Hispanic,Handgun,0,0,No,False
Sheriff,Mississippi,Mississippi_othercity,Murder or Manslaughter,Male,17,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Maryland,Baltimore city,Murder or Manslaughter,Male,29,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Tennessee,Shelby,Murder or Manslaughter,Male,18,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Louisiana,Louisiana_othercity,Murder or Manslaughter,Male,17,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,North Carolina,North Carolina_othercity,Murder or Manslaughter,Male,30,Black,Unknown,Rifle,0,2,Yes,False
Municipal Police,North Carolina,North Carolina_othercity,Murder or Manslaughter,Male,76,Black,Unknown,Knife,0,0,No,False
Municipal Police,Ohio,Cuyahoga,Murder or Manslaughter,Male,60,Black,Unknown,Firearm,4,0,Yes,False
Municipal Police,New Jersey,Essex,Murder or Manslaughter,Female,46,Black,Unknown,Knife,0,0,Yes,False
Municipal Police,Pennsylvania,Philadelphia,Murder or Manslaughter,Male,22,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Mississippi,Hinds,Murder or Manslaughter,Male,31,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Tennessee,Tennessee_othercity,Murder or Manslaughter,Male,23,Black,Unknown,Handgun,0,1,No,False
Sheriff,Texas,Harris,Murder or Manslaughter,Male,8,Asian/Pacific Islander,Not Hispanic,Firearm,3,0,No,True
Municipal Police,New York,New York_othercity,Murder or Manslaughter,Male,51,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Florida,Florida_othercity,Murder or Manslaughter,Male,31,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Florida,Duval,Manslaughter by Negligence,Male,29,White,Unknown,Handgun,0,0,No,False
Municipal Police,Texas,Texas_othercity,Murder or Manslaughter,Female,29,White,Not Hispanic,Knife,0,1,Yes,False
Sheriff,California,California_othercity,Murder or Manslaughter,Male,49,White,Hispanic,Blunt Object,0,0,Yes,False
Municipal Police,Florida,Florida_othercity,Murder or Manslaughter,Female,31,White,Unknown,Blunt Object,0,0,Yes,False
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,0,Black,Not Hispanic,Unknown,0,0,Yes,True
Municipal Police,New Jersey,New Jersey_othercity,Murder or Manslaughter,Male,19,Black,Unknown,Handgun,0,0,No,False
Sheriff,Texas,Texas_othercity,Murder or Manslaughter,Female,31,White,Unknown,Shotgun,0,0,Yes,False
Sheriff,Florida,Orange,Murder or Manslaughter,Male,43,Black,Unknown,Firearm,0,0,No,False
Municipal Police,South Carolina,South Carolina_othercity,Murder or Manslaughter,Male,52,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Kentucky,Kentucky_othercity,Murder or Manslaughter,Male,30,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Arizona,Maricopa,Murder or Manslaughter,Female,16,White,Not Hispanic,Handgun,0,0,Yes,False
Sheriff,California,California_othercity,Murder or Manslaughter,Male,56,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Missouri,Jackson,Murder or Manslaughter,Male,29,White,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,33,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Texas,Texas_othercity,Murder or Manslaughter,Male,23,White,Hispanic,Firearm,0,0,No,False
Municipal Police,Florida,Palm Beach,Murder or Manslaughter,Male,26,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Missouri,Missouri_othercity,Murder or Manslaughter,Male,17,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Pennsylvania,Pennsylvania_othercity,Murder or Manslaughter,Female,42,Black,Not Hispanic,Gun,0,0,No,False
Sheriff,South Carolina,South Carolina_othercity,Murder or Manslaughter,Male,31,Black,Unknown,Firearm,0,0,No,False
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,54,Black,Not Hispanic,Blunt Object,0,0,Yes,False
Municipal Police,Louisiana,Orleans,Murder or Manslaughter,Female,16,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Missouri,St. Louis city,Murder or Manslaughter,Male,34,Black,Not Hispanic,Firearm,0,0,No,False
Municipal Police,Ohio,Hamilton,Murder or Manslaughter,Male,23,Black,Unknown,Handgun,0,0,No,False
Municipal Police,California,California_othercity,Murder or Manslaughter,Male,21,Black,Not Hispanic,Firearm,0,0,No,False
Municipal Police,Texas,Texas_othercity,Murder or Manslaughter,Male,32,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Florida,Dade,Murder or Manslaughter,Male,20,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,18,Black,Unknown,Handgun,0,0,No,False
Municipal Police,North Carolina,North Carolina_othercity,Murder or Manslaughter,Female,82,White,Not Hispanic,Blunt Object,0,0,No,False
Municipal Police,New Jersey,Essex,Murder or Manslaughter,Female,0,Black,Unknown,Handgun,0,0,No,True
Municipal Police,New Jersey,New Jersey_othercity,Murder or Manslaughter,Male,36,Black,Unknown,Handgun,0,0,No,False
Municipal Police,New Jersey,Essex,Murder or Manslaughter,Male,27,White,Unknown,Handgun,0,0,No,False
Municipal Police,Ohio,Cuyahoga,Murder or Manslaughter,Male,22,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Massachusetts,Massachusetts_othercity,Murder or Manslaughter,Male,68,White,Unknown,Blunt Object,0,0,No,False
Municipal Police,New Jersey,New Jersey_othercity,Murder or Manslaughter,Male,28,Black,Unknown,Firearm,0,0,Yes,False
Municipal Police,North Carolina,North Carolina_othercity,Murder or Manslaughter,Male,24,Black,Unknown,Handgun,1,0,No,False
Municipal Police,Pennsylvania,Allegheny,Murder or Manslaughter,Female,1,White,Not Hispanic,Blunt Object,0,0,Yes,True
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,25,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Arkansas,Arkansas_othercity,Murder or Manslaughter,Male,51,White,Unknown,Firearm,0,1,No,False
Sheriff,North Carolina,North Carolina_othercity,Murder or Manslaughter,Male,20,Black,Unknown,Rifle,2,0,No,False
Sheriff,Arizona,Maricopa,Murder or Manslaughter,Male,51,White,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Pennsylvania,Pennsylvania_othercity,Murder or Manslaughter,Female,10,Black,Not Hispanic,Handgun,0,3,Yes,False
Municipal Police,Michigan,Wayne,Murder or Manslaughter,Male,26,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Michigan,Wayne,Murder or Manslaughter,Female,54,Black,Unknown,Knife,0,0,Yes,False
State Police,West Virginia,West Virginia_othercity,Murder or Manslaughter,Female,55,White,Unknown,Knife,0,2,No,False
Municipal Police,New York,New York,Murder or Manslaughter,Male,26,Black,Unknown,Knife,0,0,Yes,False
Municipal Police,New York,New York,Murder or Manslaughter,Male,26,Black,Unknown,Knife,0,1,No,False
Municipal Police,Michigan,Michigan_othercity,Murder or Manslaughter,Male,16,Black,Unknown,Unknown,0,0,No,False
Municipal Police,Texas,Dallas,Murder or Manslaughter,Male,41,White,Not Hispanic,Firearm,0,0,No,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,34,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Arizona,Maricopa,Murder or Manslaughter,Male,22,Native American/Alaska Native,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Florida,Broward,Murder or Manslaughter,Female,41,White,Unknown,Unknown,0,0,Yes,False
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,23,White,Hispanic,Handgun,0,0,No,False
Municipal Police,Ohio,Franklin,Murder or Manslaughter,Male,18,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Texas,Harris,Murder or Manslaughter,Male,27,Black,Not Hispanic,Knife,0,0,Yes,False
Sheriff,Texas,Harris,Murder or Manslaughter,Male,48,White,Not Hispanic,Rifle,0,0,Yes,False
Municipal Police,Indiana,Indiana_othercity,Murder or Manslaughter,Male,2,White,Not Hispanic,Handgun,7,0,Yes,True
Municipal Police,Texas,Texas_othercity,Murder or Manslaughter,Male,50,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Ohio,Ohio_othercity,Murder or Manslaughter,Female,4,White,Unknown,Blunt Object,0,0,Yes,True
Municipal Police,Texas,Texas_othercity,Murder or Manslaughter,Female,9,White,Unknown,Unknown,0,0,Yes,True
State Police,Kentucky,Kentucky_othercity,Murder or Manslaughter,Male,20,White,Unknown,Handgun,0,4,Yes,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,15,Black,Unknown,Handgun,0,1,Yes,False
Municipal Police,Virginia,Virginia_othercity,Murder or Manslaughter,Male,25,Black,Unknown,Unknown,0,0,Yes,False
Municipal Police,Texas,Tarrant,Murder or Manslaughter,Male,26,White,Unknown,Knife,0,0,Yes,False
Municipal Police,Tennessee,Shelby,Murder or Manslaughter,Male,22,Black,Unknown,Handgun,0,0,No,False
Municipal Police,North Carolina,North Carolina_othercity,Murder or Manslaughter,Male,36,Black,Unknown,Handgun,0,0,No,False
Municipal Police,California,San Bernardino,Murder or Manslaughter,Male,31,White,Hispanic,Firearm,0,0,No,False
Municipal Police,Arizona,Maricopa,Murder or Manslaughter,Male,41,White,Unknown,Handgun,2,0,No,False
Sheriff,Washington,Washington_othercity,Murder or Manslaughter,Unknown,0,Unknown,Unknown,Firearm,3,3,Yes,True
Municipal Police,District of Columbia,District of Columbia,Murder or Manslaughter,Male,27,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Mississippi,Hinds,Murder or Manslaughter,Male,50,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,32,White,Hispanic,Firearm,0,0,Yes,False
County Police,Georgia,De Kalb,Murder or Manslaughter,Male,32,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,18,White,Hispanic,Handgun,0,0,No,False
Municipal Police,Michigan,Michigan_othercity,Murder or Manslaughter,Unknown,19,Unknown,Unknown,Firearm,1,0,No,False
Municipal Police,Indiana,Lake,Murder or Manslaughter,Male,34,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Arizona,Maricopa,Murder or Manslaughter,Female,22,White,Hispanic,Handgun,0,0,Yes,False
Municipal Police,Georgia,Georgia_othercity,Murder or Manslaughter,Male,50,Black,Unknown,Handgun,0,0,No,False
Municipal Police,California,Kern,Murder or Manslaughter,Male,16,White,Hispanic,Handgun,0,0,No,False
Municipal Police,Ohio,Hamilton,Murder or Manslaughter,Male,26,Black,Unknown,Firearm,0,0,No,False
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,33,Asian/Pacific Islander,Not Hispanic,Handgun,0,0,No,False
Sheriff,South Carolina,South Carolina_othercity,Murder or Manslaughter,Female,80,White,Unknown,Handgun,0,0,Yes,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,21,White,Unknown,Handgun,0,0,No,False
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,19,White,Hispanic,Handgun,0,0,No,False
Sheriff,Florida,Orange,Murder or Manslaughter,Female,18,White,Unknown,Firearm,0,0,Yes,False
Municipal Police,California,California_othercity,Murder or Manslaughter,Female,19,White,Not Hispanic,Rifle,0,0,Yes,False
Municipal Police,Virginia,Virginia_othercity,Murder or Manslaughter,Male,29,White,Unknown,Firearm,0,0,No,False
Municipal Police,Georgia,Georgia_othercity,Murder or Manslaughter,Male,20,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Florida,Dade,Murder or Manslaughter,Male,33,Black,Unknown,Firearm,0,0,No,False
Sheriff,California,Los Angeles,Murder or Manslaughter,Male,26,White,Hispanic,Handgun,0,0,Yes,False
Municipal Police,Mississippi,Hinds,Murder or Manslaughter,Male,42,Black,Unknown,Handgun,0,0,No,False
Municipal Police,California,Riverside,Murder or Manslaughter,Male,60,Asian/Pacific Islander,Not Hispanic,Blunt Object,0,0,Yes,False
Municipal Police,California,California_othercity,Murder or Manslaughter,Male,28,White,Hispanic,Handgun,0,0,Yes,False
Sheriff,Florida,Palm Beach,Murder or Manslaughter,Male,42,Black,Unknown,Rifle,1,0,Yes,False
State Police,New York,New York_othercity,Murder or Manslaughter,Male,39,Asian/Pacific Islander,Not Hispanic,Handgun,3,0,No,False
Municipal Police,Georgia,Fulton,Murder or Manslaughter,Male,32,Black,Not Hispanic,Handgun,0,0,No,False
Sheriff,Florida,Orange,Murder or Manslaughter,Male,57,White,Unknown,Firearm,2,0,Yes,False
Municipal Police,New Jersey,New Jersey_othercity,Murder or Manslaughter,Male,27,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Maryland,Baltimore city,Murder or Manslaughter,Male,34,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Ohio,Cuyahoga,Murder or Manslaughter,Male,61,White,Unknown,Handgun,0,0,Yes,False
Municipal Police,Colorado,Colorado_othercity,Murder or Manslaughter,Male,41,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Texas,Texas_othercity,Murder or Manslaughter,Male,16,Black,Unknown,Unknown,0,0,No,False
Municipal Police,Pennsylvania,Pennsylvania_othercity,Murder or Manslaughter,Male,17,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,California,San Diego,Murder or Manslaughter,Male,46,White,Hispanic,Handgun,0,0,Yes,False
Municipal Police,Florida,Duval,Murder or Manslaughter,Male,20,Black,Unknown,Firearm,1,0,Yes,False
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,51,White,Hispanic,Handgun,0,0,No,False
County Police,Georgia,De Kalb,Murder or Manslaughter,Female,40,Black,Not Hispanic,Firearm,0,0,Yes,False
Sheriff,California,Fresno,Murder or Manslaughter,Male,50,White,Unknown,Rifle,0,3,Yes,False
Municipal Police,Missouri,Jackson,Murder or Manslaughter,Male,24,White,Unknown,Unknown,0,0,Yes,False
Municipal Police,New Jersey,New Jersey_othercity,Murder or Manslaughter,Female,69,White,Unknown,Knife,0,0,Yes,False
Municipal Police,Pennsylvania,Pennsylvania_othercity,Murder or Manslaughter,Male,29,White,Hispanic,Firearm,0,0,No,False
Municipal Police,Colorado,Colorado_othercity,Murder or Manslaughter,Male,31,White,Unknown,Handgun,0,3,Yes,False
Municipal Police,Indiana,Lake,Murder or Manslaughter,Male,17,Black,Unknown,Handgun,1,0,No,False
Municipal Police,Louisiana,Louisiana_othercity,Murder or Manslaughter,Male,63,Black,Not Hispanic,Knife,0,0,Yes,False
Municipal Police,Florida,Broward,Murder or Manslaughter,Male,25,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,16,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,21,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Oregon,Oregon_othercity,Murder or Manslaughter,Female,23,White,Unknown,Handgun,0,0,No,False
Municipal Police,Louisiana,East Baton Rouge,Murder or Manslaughter,Male,35,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Florida,Florida_othercity,Murder or Manslaughter,Female,60,Black,Unknown,Knife,0,0,Yes,False
Municipal Police,Michigan,Michigan_othercity,Murder or Manslaughter,Male,18,Black,Unknown,Handgun,0,3,Yes,False
Municipal Police,New York,Erie,Murder or Manslaughter,Female,3,Black,Not Hispanic,Blunt Object,0,0,No,True
Municipal Police,Tennessee,Tennessee_othercity,Murder or Manslaughter,Male,24,Black,Unknown,Firearm,0,1,No,False
Municipal Police,Mississippi,Mississippi_othercity,Murder or Manslaughter,Male,28,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Pennsylvania,Philadelphia,Murder or Manslaughter,Male,31,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Texas,Texas_othercity,Murder or Manslaughter,Male,32,Black,Unknown,Firearm,0,0,Yes,False
Municipal Police,California,Riverside,Murder or Manslaughter,Male,19,White,Hispanic,Knife,0,0,No,False
Municipal Police,Oregon,Oregon_othercity,Murder or Manslaughter,Female,5,White,Not Hispanic,Firearm,0,0,Yes,True
Municipal Police,Michigan,Wayne,Murder or Manslaughter,Male,79,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Louisiana,Orleans,Murder or Manslaughter,Male,28,Black,Unknown,Handgun,0,0,No,False
Sheriff,Louisiana,Louisiana_othercity,Murder or Manslaughter,Male,47,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,District of Columbia,District of Columbia,Murder or Manslaughter,Male,23,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,California,San Joaquin,Murder or Manslaughter,Male,39,Asian/Pacific Islander,Not Hispanic,Handgun,0,0,No,False
County Police,Georgia,Georgia_othercity,Murder or Manslaughter,Male,21,Asian/Pacific Islander,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,New Mexico,New Mexico_othercity,Murder or Manslaughter,Female,35,Native American/Alaska Native,Not Hispanic,Blunt Object,0,0,No,False
Municipal Police,Arizona,Arizona_othercity,Murder or Manslaughter,Male,3,White,Not Hispanic,Unknown,0,1,Yes,True
Municipal Police,Pennsylvania,Philadelphia,Murder or Manslaughter,Male,25,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Ohio,Franklin,Murder or Manslaughter,Male,35,Black,Unknown,Knife,0,0,Yes,False
Municipal Police,Mississippi,Hinds,Murder or Manslaughter,Female,29,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Georgia,Georgia_othercity,Murder or Manslaughter,Male,20,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,47,White,Hispanic,Firearm,0,0,No,False
Municipal Police,Indiana,Lake,Murder or Manslaughter,Female,42,White,Unknown,Handgun,0,0,Yes,False
Municipal Police,Colorado,Colorado_othercity,Murder or Manslaughter,Male,39,Native American/Alaska Native,Unknown,Handgun,0,0,Yes,False
Sheriff,Virginia,Virginia_othercity,Murder or Manslaughter,Male,35,Black,Unknown,Firearm,0,0,Yes,False
Municipal Police,Ohio,Ohio_othercity,Murder or Manslaughter,Male,18,Black,Unknown,Handgun,0,0,Yes,False
